anio,mes_texto,cant_trab_participaron,oficina_dependencia,rol,tema_formacion,tipo_formacion,total_participantes,veces_formado,calificacion,grupo
2024,Abril,1,Pital,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,13,3,3.9,1
2024,Abril,1,Guadalupe,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,13,3,3.9,1
2024,Mayo,3,Acevedo,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,9,2,3.0,1
2024,Mayo,1,Dirección General,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,9,2,3.0,1
2024,Julio,1,Garzón,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,10,1,4.04,1
2024,Julio,1,Pitalito,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,10,1,4.03,1
2024,Agosto,1,Tarqui,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,9,1,3.4,1
2024,Agosto,1,Garzón,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,9,1,3.9,1
2024,Septiembre,1,Florencia,Aprendiz Sena,"Cierres efectivos, matriz de objeciones, estrategias comerciales, habilidades blandas en motivación, trabajo en equipo, administración del tiempo",Entrenamiento,191,3,4.8,1
2024,Octubre,1,Acevedo,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,219,1,4.0,1
2024,Diciembre,1,Dirección General,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,198,1,4.1,1
2025,Febrero,2,Dirección General,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,206,3,4.5,1
2025,Febrero,1,La Argentina,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,206,3,4.5,1
2025,Junio,3,Dirección General,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,3,1,4.5,1
2025,Agosto,1,Dirección General,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,1,1,3.5,1
2025,Agosto,1,Garzón,Aprendiz Sena,"Competencias básicas, técnicas y específicas",Inducción,1,1,4.5,1
